2026-04-13 16:30:03,776 | INFO | workflow.runner | 工作流启动：json_file_path=F:\PgSpring\Agent4Cryptol\data\FIPS203\ir\functions\alg_004_bytes_to_bits.json
2026-04-13 16:30:03,789 | INFO | workflow.nodes | 读取函数 JSON：F:\PgSpring\Agent4Cryptol\data\FIPS203\ir\functions\alg_004_bytes_to_bits.json
2026-04-13 16:30:03,790 | INFO | workflow.nodes | 开始检索 RAG 上下文：function=BytesToBits
2026-04-13 16:30:03,794 | INFO | workflow.nodes | RAG 检索完成：function=BytesToBits context_length=8577
2026-04-13 16:30:03,795 | INFO | workflow.nodes | 开始首次翻译：function=BytesToBits
2026-04-13 16:30:08,790 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-13 16:30:08,810 | INFO | workflow.function_utils | 已保存代码版本：path=F:\PgSpring\Agent4Cryptol\Cryptol\fips203\BytesToBits_v0.cry
2026-04-13 16:30:08,810 | INFO | workflow.nodes | 首次翻译完成：function=BytesToBits code_length=343
2026-04-13 16:30:08,811 | INFO | workflow.nodes | 开始编译：function=BytesToBits attempt=1
2026-04-13 16:30:08,943 | INFO | workflow.cryptol_compiler | 编译完成：success=True
2026-04-13 16:30:08,943 | INFO | workflow.nodes | 编译成功：function=BytesToBits attempt=1
2026-04-13 16:30:08,945 | INFO | workflow.function_utils | 已保存代码版本：path=F:\PgSpring\Agent4Cryptol\Cryptol\fips203\BytesToBits.cry
2026-04-13 16:30:08,945 | INFO | workflow.nodes | 已保存最终成功结果：F:\PgSpring\Agent4Cryptol\Cryptol\fips203\BytesToBits.cry
2026-04-13 16:30:08,945 | INFO | workflow.runner | 工作流结束：编译成功 output=F:\PgSpring\Agent4Cryptol\Cryptol\fips203\BytesToBits.cry
